File hash,Reported family,Source,First Submission date,Report date,Report URL,Category
092efedd8e2e0c965290154b8a6e2bd5ec19206f43d50d339fa1485f8ff6ccba,Smsspy,McAfee,2024/2/24,2024/3/14,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/android-phishing-scam-using-malware-as-a-service-on-the-rise-in-india/,Spyware;Information Stealer
7b1f692868df9ff463599a486658bcdb862c1cf42e99ec717e289ddb608c8350,Smsspy,McAfee,2024/3/8,2024/3/14,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/android-phishing-scam-using-malware-as-a-service-on-the-rise-in-india/,Spyware;Information Stealer
c59214828ed563ecc1fff04efdfd2bff0d15d411639873450d8a63754ce3464c,Smsspy,McAfee,2024/2/23,2024/3/14,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/android-phishing-scam-using-malware-as-a-service-on-the-rise-in-india/,Spyware;Information Stealer
b0df37a91b93609b7927edf4c24bfdb19eecae72362066d555278b148c59fe85,Smsspy,McAfee,2024/2/21,2024/3/14,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/android-phishing-scam-using-malware-as-a-service-on-the-rise-in-india/,Spyware;Information Stealer
07ad0811a6dac7435f025e377b02b655c324b7725ab44e36a58bc68b27ce0758,Smsspy,McAfee,2024/2/20,2024/3/14,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/android-phishing-scam-using-malware-as-a-service-on-the-rise-in-india/,Spyware;Information Stealer
c8eb4008fa4e0c10397e0fb9debf44ca8cbadc05663f9effbeac2534d9289377,Smsspy,McAfee,2024/2/7,2024/3/14,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/android-phishing-scam-using-malware-as-a-service-on-the-rise-in-india/,Spyware;Information Stealer
1df43794618ef8d8991386f66556292429926cd7f9cf9b1837a08835693feb40,Smsspy,McAfee,2024/2/7,2024/3/14,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/android-phishing-scam-using-malware-as-a-service-on-the-rise-in-india/,Spyware;Information Stealer
b044804cf731cd7dd79000b7c6abce7b642402b275c1eb25712607fc1e5e3d2b,XLoader,McAfee,2024/2/9,2024/2/7,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/moqhao-evolution-new-variants-start-automatically-right-after-installation/,Banking Trojan;Information Stealer;Spyware;Trojan Dropper
7149acb072fe3dcf4dcc6524be68bd76a9a2896e125ff2dddefb32a4357f47f6,Xamalicious,McAfee,2023/2/14,2023/12/22,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/stealth-backdoor-android-xamalicious-actively-infecting-devices/,Backdoor;Information Stealer;Trojan Dropper
a5de2dc4e6005e75450a0df0ea83816996092261f7dac30b5cf909bf6daaced0,Xamalicious,McAfee,2023/5/21,2023/12/22,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/stealth-backdoor-android-xamalicious-actively-infecting-devices/,Backdoor;Information Stealer;Trojan Dropper
22803693c21ee17667d764dd226177160bfc2a5d315e66dc355b7366b01df89b,Xamalicious,McAfee,2022/10/28,2023/12/22,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/stealth-backdoor-android-xamalicious-actively-infecting-devices/,Backdoor;Information Stealer;Trojan Dropper
efbb63f9fa17802f3f9b3a0f4236df268787e3d8b7d2409d1584d316dabc0cf9,Xamalicious,McAfee,2022/7/17,2023/12/22,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/stealth-backdoor-android-xamalicious-actively-infecting-devices/,Backdoor;Information Stealer;Trojan Dropper
e801844333031b7fd4bd7bb56d9fb095f0d89eb89d5a3cc594a4bed24f837351,Xamalicious,McAfee,2022/12/6,2023/12/22,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/stealth-backdoor-android-xamalicious-actively-infecting-devices/,Backdoor;Information Stealer;Trojan Dropper
5fffb10487e718634924552b46e717bbcbb6a4f9b1fed02483a6517f9acd2f61,Xamalicious,McAfee,2023/4/19,2023/12/22,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/stealth-backdoor-android-xamalicious-actively-infecting-devices/,Backdoor;Information Stealer;Trojan Dropper
81a9a6c86b5343a7170ae5abd15f9d2370c8282a4ed54d8d28a3e1ab7c8ae88e,Xamalicious,McAfee,2021/9/17,2023/12/22,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/stealth-backdoor-android-xamalicious-actively-infecting-devices/,Backdoor;Information Stealer;Trojan Dropper
9c646516dd189cab1b6ced59bf98ade42e19c56fc075e42b85d597449bc9708b,Xamalicious,McAfee,2023/12/11,2023/12/22,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/stealth-backdoor-android-xamalicious-actively-infecting-devices/,Backdoor;Information Stealer;Trojan Dropper
